Company Name,Geography,Geography Code,Sector,CA100 Focus Company,Large/Medium Classification,ISINs,SEDOL,MQ Publication Date,MQ Assessment Date,Level,Performance Compared to Previous Year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose Scope 3 use of product emissions?,Q13L4|Does the company disclose its membership and involvement in organisations or coalitions dedicated specifically to climate issues?,Q14L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q15L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q16L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q17L4|Does the company undertake climate scenario planning?,Q18L4|Does the company disclose an internal price of carbon?,Q19L4|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?,CP Publication Date,CP Assessment Date,Benchmark ID,Carbon Performance Alignment,Carbon Performance Alignment Year,Previous Carbon Performance Alignment,Previous Carbon Performance Alignment Year,History to Projection Cutoff Year,CP Unit,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,Assumptions
Qassim Cement,Saudi Arabia,SAU,Cement,No,medium,SA0007879493,B136WG1,01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No,01/02/2021,23/12/2020,Cement_01/02/2021,No or unsuitable disclosure,,,,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient current emissions data nor any quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance."
RPM,United States of America,USA,Chemicals,No,small,US7496851038,2756174,01/11/2021,31/03/2021,2,up,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWE,Germany,DEU,Electricity Utilities,Yes,large,"DE0007037129, DE0007037145","4768962, 4769147",01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,No,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,1.5 Degrees,2040,Below 2 Degrees,2036,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.751,0.745,0.715,0.713,0.677,0.684,0.599,0.47,0.452320854,0.434641709,0.416962563,0.399283418,0.381604272,0.363925127,0.346245981,0.328566836,0.31088769,0.293208544,0.26388769,0.234566836,0.205245981,0.175925127,0.146604272,0.117283418,0.087962563,0.058641709,0.029320854,0.0,,,,,,,,,,,TPI has not made any further assumptions in calculate this company’s Carbon Performance.
Raytheon Technologies,United States of America,USA,Other Industrials,Yes,large,US75513E1010,BM5M5Y3,01/11/2021,31/03/2021,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red Electrica,Spain,ESP,Electricity Utilities,No,medium,ES0173093024,BD6FXN3,01/11/2021,31/03/2021,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,Yes,Yes,No,No,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Not assessed,,Not Assessed,,,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company’s activities lie outside the scope of TPI’s Carbon Performance assessment of this sector, hence the company is not assessed."
Reliance Industries,India,IND,Oil & Gas,Yes,large,"INE002A01018, US7594701077, IN9002A01032","6099626, B16CYP9, BMFB937",01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,No or unsuitable disclosure,,No or unsuitable disclosure,,,Emissions intensity (gCO2e / MJ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient data on current emissions, or any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance."
Reliance Steel & Aluminium (Aluminium),United States of America,USA,Aluminium,No,small,US7595091023,2729068,01/11/2021,31/03/2021,1,up,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No,01/02/2021,23/12/2020,Aluminium_01/02/2021,Not Assessed,,,,,Carbon intensity (tCO2e / t aluminium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company’s activities don't fit the scope of TPI’s Carbon Performance assessment of this sector, hence the company is not assessed."
Reliance Steel & Aluminium (Steel),United States of America,USA,Steel,No,small,US7595091023,2729068,01/11/2021,31/03/2021,1,up,Yes,Yes,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No,01/02/2021,23/12/2020,Steel_01/02/2021,Not Assessed,,,,,Carbon intensity (tonnes of CO2 per tonne of steel),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company’s activities don't fit the scope of TPI’s Carbon Performance assessment of this sector, hence the company is not assessed."
Renault,France,FRA,Autos,Yes,large,FR0000131906,4712798,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,01/12/2020,23/10/2020,Autos_01/12/2020,Paris Pledges,2021,Paris Pledges,2013,2019,Average new vehicle emissions (grams of CO2 per kilometre [NEDC]),132.0,131.0,126.0,123.0,125.0,124.0,125.0,120.0,115.0,109.0,106.0,103.0,100.0,97.0,94.0,91.0,88.0,85.0,,,,,,,,,,,,,,,,,,,,,"For this company, TPI has assumed that both tank-to-wheel and well-to-tank emissions fall by equal proportions in meeting the company’s well-to-wheel target. TPI has also assumed that the average emissions intensities of both passenger cars and light commercial vehicles fall by equal proportions in meeting the company’s well-to-wheel target."
Repsol,Spain,ESP,Oil & Gas,Yes,large,ES0173516115,5669354,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,National Pledges,2041,Paris Pledges,2043,2020,Emissions intensity (gCO2e / MJ),,,,75.22453946,74.50435612,74.16496968,72.03982948,71.58085932,71.29371295,71.00656658,70.71942022,70.43227385,70.14512748,69.012042,67.87895651,66.74587103,65.61278555,64.47970006,63.39019479,62.30068951,61.21118424,60.12167897,59.03217369,57.94266842,56.85316315,55.76365787,54.6741526,53.58464733,51.40563678,49.22662624,47.04761569,44.86860514,42.6895946,40.51058405,38.3315735,36.15256296,33.97355241,31.79454186,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company’s target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure. The company’s Scope 3 target is based on a fossil fuel equivalence approach  (see TPI’s Q&A document for a brief definition)."
Rio Tinto (Aluminium),Australia,AUS,Aluminium,Yes,large,not found,not found,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No,Yes,01/02/2021,23/12/2020,Aluminium_01/02/2021,Below 2 Degrees,2041,Not Aligned,,2019,Carbon intensity (tCO2e / t aluminium),,,,,,5.235,5.436,5.261,5.086,4.91,4.735,4.56,4.384,4.209,4.033,3.858,3.683,3.507,3.332,3.157,2.981,2.806,2.63,2.455,2.28,2.104,1.929,1.754,1.578,1.403,1.228,1.052,0.877,0.701,0.526,0.351,0.175,0.0,TPI has not made any further assumptions in order to project this companyís Carbon Performance.
Rio Tinto (Diversified mining),Australia,AUS,Diversified Mining,Yes,large,not found,not found,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,Yes,Yes,Yes,Yes,Yes,No,Yes,01/02/2021,23/12/2020,Diversified Mining_01/02/2021,Not Aligned,,Not Aligned,,2019,Carbon intensity (tonne CO2e / tonne copper equivalent),,,,73.083,73.594,72.841,77.662,77.759,77.616,77.473,77.33,77.187,77.044,76.901,76.758,76.615,76.472,76.329,76.174,76.02,75.865,75.711,75.556,75.402,75.247,75.093,74.938,74.784,74.629,74.475,74.32,74.166,74.011,73.857,73.702,73.548,73.393,73.239,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set targets to reduce its emissions intenisty. The company's target covers a subset of Scope 1, 2 and 3 (use and/or processing of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure."
Rolls-Royce,United Kingdom,GBR,Other Industrials,Yes,large,GB00B63H8491,B63H849,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosneft Oil,Russia,RUS,Oil & Gas,Yes,large,"RU000A0J2Q06, US67812M2070","B59SS16, B17FSC2",01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,Not Aligned,,2019,Emissions intensity (gCO2e / MJ),,77.14248653,77.03865238,76.6166571,76.27334523,76.58035249,76.72341132,76.62801759,76.53262385,76.43723012,76.34183638,76.24644265,76.15104891,76.05565518,75.96026144,75.86486771,75.76947397,75.67408024,75.5786865,75.48329277,75.38789903,75.29250529,75.19711156,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company’s target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure. The company has set another target to reduce its emissions intensity, but it could not be included in this assessment as it was not possible to make it consistent with TPI’s methodology."
Royal DSM,Netherlands,NLD,Chemicals,No,large,NL0000009827,B0HZL93,01/11/2021,31/03/2021,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,Yes,Yes,Yes,Yes,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royal Dutch Shell,United Kingdom,GBR,Oil & Gas,Yes,large,"GB00B03MM408, GB00B03MLX29","B03MM40, B03MLX2, B09CBL4",01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,National Pledges,2029,Paris Pledges,2030,2020,Emissions intensity (gCO2e / MJ),,,,70.54708912,70.65742171,70.94640898,71.01101726,69.09087735,68.61424182,68.13760629,65.66629414,64.35498566,63.04367717,61.73236869,60.4210602,59.10975172,57.79844323,56.48713475,55.07495638,53.66277801,52.25059964,50.83842127,49.4262429,47.77870147,46.13116004,44.48361861,42.83607718,41.18853575,39.54099432,37.89345289,36.24591146,34.59837003,32.9508286,31.30328717,29.65574574,28.00820431,26.36066288,24.71312145,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance. The company’s Scope 3 target is based on a fossil fuel equivalence approach. The company has set further targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology  (see TPI’s Q&A document for a brief definition)."
Ruentex Development,Taiwan,TWN,Cement,No,small,TW0009945006,6748423,01/11/2021,31/03/2021,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryanair,Ireland,IRL,Airlines,No,unlisted,"IE00BYTBXV33, US7835132033","BYTBXV3, BYTBY10, BYYN585",01/11/2021,31/03/2021,2,new,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Not applicable,No,Yes,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAIC motor,China,CHN,Autos,Yes,large,CNE000000TY6,"6086974, BP3R2D9",01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,01/12/2020,23/10/2020,Autos_01/12/2020,Not Aligned,,Not Aligned,,2019,Average new vehicle emissions (grams of CO2 per kilometre [NEDC]),170.0,167.0,163.0,157.0,150.0,148.0,137.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SAIC Motors has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance."
SK Innovation,South Korea,KOR,Oil & Gas,Yes,large,KR7096770003,B232R05,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,No or unsuitable disclosure,,No or unsuitable disclosure,,,Emissions intensity (gCO2e / MJ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient data on current emissions, or any quantitative targets to reduce its emissions, which TPI can use to estimate current or future Carbon Performance."
SSAB,Sweden,SWE,Steel,Yes,small,"SE0000171100, SE0000120669","B17H0S8, B17H3F6",01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,No,No,Yes,No,01/02/2021,23/12/2020,Steel_01/02/2021,Paris Pledges,2014,Below 2 Degrees,2014,2019,Carbon intensity (tonnes of CO2 per tonne of steel),1.4,1.33,1.39,1.39,1.38,1.36,1.41,1.366,1.323,1.279,1.236,1.192,1.148,1.105,1.061,1.018,0.974,0.931,0.887,0.843,,,,,,,,,,,,,,,,,,,"The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that the company’s crude steel production grows according to the global growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario."
SSE,United Kingdom,GBR,Electricity Utilities,Yes,large,GB0007908733,790873,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Below 2 Degrees,2014,Paris Pledges,2013,2020,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.576,0.474,0.397,0.302,0.305,0.284,0.288,0.255,0.2417,0.2284,0.2151,0.2018,0.1885,0.1752,0.1619,0.1486,0.1353,0.122,0.1159,0.1098,0.1037,0.0976,0.0915,0.0854,0.0793,0.0732,0.0671,0.061,0.0549,0.0488,0.0427,0.0366,0.0305,0.0244,0.0183,0.0122,0.0061,0.0,TPI has not made any further assumptions in calculate this company’s Carbon Performance.
Santos,Australia,AUS,Oil & Gas,Yes,large,AU000000STO6,6776703,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,Not Aligned,,2019,Emissions intensity (gCO2e / MJ),,,75.692146,73.41185927,72.58296499,74.70629182,76.09159666,75.66364988,75.2357031,74.80775633,74.37980955,73.95186277,73.523916,73.09596922,72.66802244,72.24007567,71.81212889,71.38418211,70.17282054,68.96145896,67.75009738,66.5387358,65.32737422,64.11601265,62.90465107,61.69328949,60.48192791,59.27056633,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company’s target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure. The company has set further targets to reduce its emissions intensity, but they could not be included in this assessment as it was not possible to make them consistent with TPI’s methodology."
Sappi,South Africa,ZAF,Paper,No,medium,ZAE000006284,6777007,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,No,Yes,No,01/02/2021,23/12/2020,Paper_01/02/2021,Not Aligned,,Not Aligned,,2019,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)",0.96,0.94,0.94,0.97,0.93,0.93,0.94,0.906,0.873,0.839,0.805,0.771,0.738,,,,,,,,,,,,,,,,,,,,,,,,,,We assume that the base year for the company’s target is the latest year for which an intensity is disclosed (2019).
Sasol (Chemicals),South Africa,ZAF,Chemicals,Yes,large,ZAE000006896,6777450,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sasol (Oil & Gas),South Africa,ZAF,Oil & Gas,Yes,large,ZAE000006896,6777450,01/11/2021,31/03/2021,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,Not Aligned,,2018,Emissions intensity (gCO2e / MJ),,,,153.2602139,158.4377175,155.9665438,155.526147,155.0857502,154.6453534,154.2049567,153.7645599,153.3241631,152.8837664,152.4433696,152.0029728,151.562576,151.1221793,150.6817825,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has set targets to reduce its absolute emissions. To calculate this company’s targeted emissions intensity, TPI has assumed that: The company’s externally sold energy products grow according to the regional or global primary energy supply growth rate projected in the IEA’s Energy Technology Perspectives model ‘Reference Technology’ scenario. The company’s target covers a subset of Scope 1, 2 and 3 (use of sold products) emissions. The emissions intensities of all emissions not covered by the target are assumed to remain constant from the level of the latest disclosure."
Saudi Arabian Mining,Saudi Arabia,SAU,Aluminium,No,large,SA123GA0ITH7,B3C8VY3,01/11/2021,31/03/2021,0,new,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Aramco,Saudi Arabia,SAU,Oil & Gas,Yes,large,SA14TG012N13,BJTM270,01/11/2021,31/03/2021,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,01/11/2021,05/08/2021,Oil & Gas_01/11/2021,Not Aligned,,Not Aligned,,2018,Emissions intensity (gCO2e / MJ),,,,,,73.32263298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed an emissions intensity that TPI can use to assess current and/or future Carbon Performance. The carbon intensity has been (re-)calculated according to TPI methodology. The company has not disclosed quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance."
Saudi Basic Industries,Saudi Arabia,SAU,Chemicals,No,large,SA0007879121,B1324D0,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,No,No,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Saudi Cement,Saudi Arabia,SAU,Cement,No,medium,SA0007879469,B132HD1,01/11/2021,31/03/2021,0,unchanged,No,No,No,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No,01/02/2021,23/12/2020,Cement_01/02/2021,No or unsuitable disclosure,,,,,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has not disclosed sufficient current emissions data nor any quantitative targets to reduce its emissions, which TPI can use to estimate future carbon performance."
Saudi Electricity,Saudi Arabia,SAU,Electricity Utilities,No,large,SA0007879550,B132NM2,01/11/2021,31/03/2021,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Not Aligned,,,,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),,,,0.693,0.659,0.636,0.647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The company discloses an emissions target that is inconsistent with TPI’s methodology for this sector.
Semen Indonesia,Indonesia,IDN,Cement,No,large,ID1000106800,6795236,01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,Yes,Yes,No,Yes,No,No,No,No,Not applicable,No,Yes,No,No,No,No,No,01/02/2021,23/12/2020,Cement_01/02/2021,Not Aligned,,Not Aligned,,2019,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,,,0.705,0.689,0.64,0.633,0.626,0.62,0.613,0.606,,,,,,,,,,,,,,,,,,,,,,,,,,,The company discloses an emissions target using an activity measure figure that is inconsistent with TPI’s methodology for this sector. The targeted carbon intensity has been recalculated according to TPI methodology. TPI has not made any further assumptions in order to project this company’s Carbon Performance.
Semirara Mining and Power,Philippines,PHL,Coal Mining,No,medium,PHY7628G1124,BQ13Z04,01/11/2021,31/03/2021,2,unchanged,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sempra Energy,United States of America,USA,Electricity Utilities,No,large,US8168511090,2138158,01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not applicable,No,Yes,Yes,No,Yes,Yes,No,01/11/2021,05/08/2021,Electricity Utilities_01/11/2021,Below 2 Degrees,2050,Not Aligned,,2019,Carbon intensity (metric tonnes of CO2 per MWh electricity generation),0.321,0.314792848,0.294381208,0.241310944,0.208198728,0.21772416,0.342008368,0.33097584,0.319943312,0.308910784,0.297878256,0.286845728,0.2758132,0.264780672,0.253748144,0.242715616,0.231683088,0.22065056,0.209618032,0.198585504,0.187552976,0.176520448,0.16548792,0.154455392,0.143422864,0.132390336,0.121357808,0.11032528,0.099292752,0.088260224,0.077227696,0.066195168,0.05516264,0.044130112,0.033097584,0.022065056,0.011032528,0.0,TPI has not made any further assumptions in calculate this company’s Carbon Performance.
Severstal,Russia,RUS,Steel,Yes,large,"RU0009046510, US8181503025","B5B9C59, B1G4YH7",01/11/2021,31/03/2021,3,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not applicable,No,No,No,No,No,No,No,01/02/2021,23/12/2020,Steel_01/02/2021,Not Aligned,,Not Aligned,,2019,Carbon intensity (tonnes of CO2 per tonne of steel),,,,,,1.804,1.923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company has set targets to reduce its emissions intensity, but they could not be included in this assessment as the base year figures are not disclosed yet."
Shandong Chenming,China,CHN,Paper,No,medium,"CNE000000QM7, CNE100000BK2, CNE0000015H5","6801832, B2RJKP8, 6294960, BD5CQ14",01/11/2021,31/03/2021,1,unchanged,Yes,No,Yes,No,Yes,No,No,No,No,No,No,Not applicable,No,No,No,No,No,No,No,01/02/2021,23/12/2020,Paper_01/02/2021,Not Aligned,,No or unsuitable disclosure,,2019,"Carbon intensity (tonnes of CO2 per tonne of pulp, paper and paperboard)",,,,,,,4.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TPI has not made any further assumptions in order to project this company’s Carbon Performance.
Shin-Etsu Chemical,Japan,JPN,Chemicals,No,large,JP3371200001,6804585,01/11/2021,31/03/2021,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,Yes,Yes,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shougang Fushan Resources,Hong Kong,HKG,Coal Mining,No,medium,HK0639031506,6354671,01/11/2021,31/03/2021,0,unchanged,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Showa Denko,Japan,JPN,Aluminium,No,medium,JP3368000000,6805469,01/11/2021,31/03/2021,4,up,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not applicable,No,Yes,Yes,Yes,Yes,Yes,No,01/02/2021,23/12/2020,Aluminium_01/02/2021,Not Assessed,,,,,Carbon intensity (tCO2e / t aluminium),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The company’s activities don't fit the scope of TPI’s Carbon Performance assessment of this sector, hence the company is not assessed."
Shree Cements,India,IND,Cement,No,large,INE070A01015,6100357,01/11/2021,31/03/2021,3,down,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,No,No,No,No,No,01/02/2021,23/12/2020,Cement_01/02/2021,Not Aligned,,2 Degrees,2022,2019,Carbon intensity (tonnes of CO2 per tonne of cementitious product),,,,0.562,0.555,0.553,0.555,0.549,0.542,0.536,0.529,0.523,0.517,0.51,0.504,0.497,0.491,0.485,,,,,,,,,,,,,,,,,,,,,Shree Cement has set targets to reduce its emissions intensity. TPI has not made any further assumptions in order to project this company’s carbon performance.
Siam Cement,Thailand,THA,Cement,No,large,"TH0003010Z12, TH0003010Z04, TH0003010R12","6609906, 6609917, 6609928",01/11/2021,31/03/2021,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not applicable,No,Yes,Yes,No,Yes,Yes,No,01/02/2021,23/12/2020,Cement_01/02/2021,Not Aligned,,2 Degrees,2023,2019,Carbon intensity (tonnes of CO2 per tonne of cementitious product),0.625,0.629,0.643,0.641,0.651,0.658,0.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The company has set targets to reduce its emissions intensity. TPI has not made any further assumptions in order to project this company’s carbon performance.
